number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
1021,53.0,2025-01-21 01:50:41.281032,2025-01-21 01:52:57.465004,0 days 00:02:16.183972,0.9869500112911623,1.2272587396010792,0.4282690248131043,0.03150990118732134,21,5,SGD,0.0009383997510042405,2,,False,COMPLETE
1022,52.900000000000006,2025-01-21 01:52:57.553825,2025-01-21 01:55:29.244516,0 days 00:02:31.690691,0.8843360680973109,1.265258138442259,0.4383470837361766,0.025335800853098677,16,4,SGD,0.0015540278960364292,2,,False,COMPLETE
1023,52.669999999999995,2025-01-21 01:55:29.326175,2025-01-21 01:57:10.614034,0 days 00:01:41.287859,0.9644071475525104,1.2989369051178736,0.4414413498975264,0.039829388174946086,12,4,SGD,0.0023162945404485206,2,,False,COMPLETE
1024,52.82,2025-01-21 01:57:10.712384,2025-01-21 01:59:21.190041,0 days 00:02:10.477657,0.998371690820494,1.320707409320568,0.41144529053206713,0.03608760556039997,14,4,SGD,0.0018138922735586127,2,,False,COMPLETE
1025,52.66,2025-01-21 01:58:49.503433,2025-01-21 02:02:04.230190,0 days 00:03:14.726757,1.0120014842457257,1.2591680133256458,0.3767881383481064,0.026280117569700744,19,5,SGD,0.0007892507249473563,2,,False,COMPLETE
1026,52.669999999999995,2025-01-21 01:59:21.304130,2025-01-21 02:15:40.403444,0 days 00:16:19.099314,0.9629157980156862,1.349394381586833,0.3787350754740468,0.027144951059007237,19,5,SGD,0.0007793075808956367,2,,False,COMPLETE
1027,53.14,2025-01-21 02:02:04.329376,2025-01-21 02:04:32.748502,0 days 00:02:28.419126,0.9698643198442604,1.237042747905042,0.431824614702049,0.02906986627641999,17,4,SGD,0.0014293421147905366,2,,False,COMPLETE
1028,53.0,2025-01-21 02:04:32.833773,2025-01-21 02:06:10.728563,0 days 00:01:37.894790,1.0300422713089046,1.380883786044329,0.4478383562981284,0.03436783333886587,20,5,SGD,0.010372556849310762,2,,False,COMPLETE
1029,53.09,2025-01-21 02:06:10.830319,2025-01-21 02:09:45.076590,0 days 00:03:34.246271,0.9433905178715286,1.2014012914004517,0.40489089846435333,0.026568510637262278,18,4,SGD,0.00125508254092848,2,,False,COMPLETE
1030,52.980000000000004,2025-01-21 02:09:45.210230,2025-01-21 02:26:12.542561,0 days 00:16:27.332331,0.9766925433082938,1.0303967123622249,0.4251941033041524,0.03998004615284999,21,5,SGD,0.0015992047689781142,2,,False,COMPLETE
1031,53.010000000000005,2025-01-21 02:15:40.518726,2025-01-21 02:17:16.219579,0 days 00:01:35.700853,1.0097772555434257,1.3426497362039103,0.4314787416474822,0.039629258578918046,21,5,SGD,0.0016931844410535979,0,,False,COMPLETE
1032,53.04,2025-01-21 02:17:16.320648,2025-01-21 02:18:48.830026,0 days 00:01:32.509378,1.0427943702693747,1.1146700072200653,0.4458503926663303,0.04391307607554832,16,4,SGD,0.0009494901970421114,2,,False,COMPLETE
1033,53.13,2025-01-21 02:18:48.910817,2025-01-21 02:20:52.128808,0 days 00:02:03.217991,0.9111683287337533,1.3220243640540879,0.42220976215144085,0.04333203581813565,17,4,SGD,0.001213481340373222,2,,False,COMPLETE
1034,50.11,2025-01-21 02:20:52.226576,2025-01-21 02:22:15.431634,0 days 00:01:23.205058,0.9819051132333707,1.2930106914312776,0.6971235711721009,0.023745804642483125,19,5,SGD,0.001485529812867162,2,,False,COMPLETE
1035,52.839999999999996,2025-01-21 02:22:15.543289,2025-01-21 02:23:45.227783,0 days 00:01:29.684494,1.0702072590191547,1.422505416003032,0.4516358390853944,0.04248446979154627,13,4,SGD,0.0018018004472276853,2,,False,COMPLETE
1036,52.89,2025-01-21 02:23:45.325903,2025-01-21 02:26:08.014503,0 days 00:02:22.688600,1.025312687404079,1.235527166588563,0.4024757568267004,0.03815091085935898,23,5,SGD,0.0022011644251831632,2,,False,COMPLETE
1037,53.13,2025-01-21 02:26:08.120426,2025-01-21 02:27:42.862283,0 days 00:01:34.741857,1.060130368601245,1.1811794978664099,0.4217696472897096,0.03675965593809774,17,4,SGD,0.0011272336797816724,2,,False,COMPLETE
1038,53.15,2025-01-21 02:26:12.639598,2025-01-21 02:28:33.102909,0 days 00:02:20.463311,1.0809274618168347,1.3506967707521942,0.4338431866300746,0.02210552500766653,17,4,SGD,0.0010669824985051744,2,,False,COMPLETE
1039,52.7,2025-01-21 02:27:42.972521,2025-01-21 02:32:20.890267,0 days 00:04:37.917746,1.0927011529332864,1.4104120300453862,0.4430195956838371,0.02942261812855305,53,2,SGD,0.0009657211798714995,2,,False,COMPLETE
1040,52.7,2025-01-21 02:28:33.216877,2025-01-21 02:31:53.749248,0 days 00:03:20.532371,1.0176045970941319,1.3481070187210176,0.3888432967066786,0.02169453834158962,15,4,SGD,0.0008156364525532216,2,,False,COMPLETE
1041,52.89,2025-01-21 02:31:53.846478,2025-01-21 02:34:18.495798,0 days 00:02:24.649320,1.0856522908626136,1.2852577602628312,0.40533228464915394,0.021014087959925876,16,4,SGD,0.0008615543561907694,2,,False,COMPLETE
1042,52.49,2025-01-21 02:32:21.008486,2025-01-21 02:35:41.579261,0 days 00:03:20.570775,1.0215374763102238,1.283169225524291,0.3563532273873437,0.02480027183306457,16,4,SGD,0.0009338353306091673,0,,False,COMPLETE
1043,53.06999999999999,2025-01-21 02:34:18.606072,2025-01-21 02:36:44.451353,0 days 00:02:25.845281,1.047170122447243,1.3585591879924406,0.4575759144021608,0.02324444650846046,17,4,SGD,0.0010475478455903324,0,,False,COMPLETE
1044,53.05,2025-01-21 02:35:41.679649,2025-01-21 02:38:08.421009,0 days 00:02:26.741360,0.942205550270606,1.3578411765973901,0.4586981082875918,0.02129900279222878,18,4,SGD,0.0011882550859575027,2,,False,COMPLETE
1045,52.839999999999996,2025-01-21 02:36:44.559213,2025-01-21 02:38:59.794593,0 days 00:02:15.235380,0.943897104646605,1.3286412627665132,0.4189899910886094,0.028176984412112655,14,4,SGD,0.0011871083229276292,2,,False,COMPLETE
1046,52.849999999999994,2025-01-21 02:38:08.541520,2025-01-21 02:54:45.793761,0 days 00:16:37.252241,1.056421725309127,1.388188057259811,0.41561480483442526,0.02368192513232075,14,4,SGD,0.0007580902700915462,2,,False,COMPLETE
1047,53.09,2025-01-21 02:38:59.916193,2025-01-21 02:55:48.750226,0 days 00:16:48.834033,0.9818526568311593,1.3884221994028945,0.4381626232231121,0.02430582892635306,19,3,SGD,0.0007962035375103012,2,,False,COMPLETE
1048,52.82,2025-01-21 02:54:45.906168,2025-01-21 03:11:38.776323,0 days 00:16:52.870155,0.8121155797687145,1.3114120257345436,0.436279255991948,0.019499134324070896,20,3,SGD,0.0013462847456482175,2,,False,COMPLETE
1049,52.690000000000005,2025-01-21 02:55:48.863878,2025-01-21 03:00:14.141617,0 days 00:04:25.277739,0.806022482035864,1.4497406431494224,0.3952022020513045,0.03391098882113765,20,3,SGD,0.001008804419442233,2,,False,COMPLETE
1050,53.23,2025-01-21 03:00:14.243648,2025-01-21 03:02:50.369211,0 days 00:02:36.125563,1.0008145740424477,1.3174291197773158,0.4313625698266278,0.03600039362134027,18,4,SGD,0.0013630587040461357,2,,False,COMPLETE
1051,52.78,2025-01-21 03:02:50.464618,2025-01-21 03:19:45.971737,0 days 00:16:55.507119,0.9980915463834055,1.2950434086100242,0.41245568853342046,0.0318806432260214,19,5,SGD,0.0013375018967097794,2,,False,COMPLETE
1052,53.15,2025-01-21 03:11:38.879083,2025-01-21 03:15:07.080260,0 days 00:03:28.201177,0.9862446864451562,1.259634330834961,0.4068530273771611,0.017261787792418683,18,4,SGD,0.0009516833074955496,2,,False,COMPLETE
1053,52.739999999999995,2025-01-21 03:15:07.185295,2025-01-21 03:32:01.342808,0 days 00:16:54.157513,0.8779093733291786,1.2433120392919423,0.3696691774175306,0.020588118545784895,18,4,SGD,0.001039489337579823,2,,False,COMPLETE
1054,52.790000000000006,2025-01-21 03:19:46.101599,2025-01-21 03:24:10.414075,0 days 00:04:24.312476,0.8751903184826392,1.253369453844823,0.37168763821004414,0.017196762295313056,18,4,SGD,0.0010461615257567167,2,,False,COMPLETE
