number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_n_clusters,params_n_neighbors,state
135,51.970000000000006,2025-01-21 17:08:01.889549,2025-01-21 17:08:27.672232,0 days 00:00:25.782683,1.1424380858153698,0.8238367841377155,0.3694799465735596,34,6,COMPLETE
136,51.849999999999994,2025-01-21 17:08:27.745411,2025-01-21 17:08:53.682965,0 days 00:00:25.937554,1.1696037156319798,0.8619537934641976,0.3534339250222134,34,6,COMPLETE
137,51.92,2025-01-21 17:08:53.763790,2025-01-21 17:09:20.999020,0 days 00:00:27.235230,0.8900686672262833,1.0486489966766397,0.32232210333256267,39,7,COMPLETE
138,50.01,2025-01-21 17:09:21.064628,2025-01-21 17:09:45.446741,0 days 00:00:24.382113,2.007112548604318,1.313873014741958,0.2242681159465752,32,5,COMPLETE
139,49.669999999999995,2025-01-21 17:09:45.515726,2025-01-21 17:10:12.490822,0 days 00:00:26.975096,1.3075371066668193,0.35928677859034647,0.7156269045822636,38,6,COMPLETE
140,45.25,2025-01-21 17:10:12.561208,2025-01-21 17:10:39.037498,0 days 00:00:26.476290,0.5542086403507601,0.21600313312704983,0.1713237517196056,35,8,COMPLETE
141,51.93,2025-01-21 17:10:39.107926,2025-01-21 17:11:03.023750,0 days 00:00:23.915824,1.0921405999209481,0.45033181035361786,0.39911471443581675,31,5,COMPLETE
142,51.85999999999999,2025-01-21 17:11:03.098670,2025-01-21 17:11:27.068934,0 days 00:00:23.970264,1.1218045008833275,0.46202735349035545,0.3914231382351207,31,5,COMPLETE
143,50.43,2025-01-21 17:11:27.136802,2025-01-21 17:11:52.622809,0 days 00:00:25.486007,0.7795753000600557,0.5670738926778934,0.2661109233129174,33,6,COMPLETE
144,51.62,2025-01-21 17:11:52.707015,2025-01-21 17:12:19.110449,0 days 00:00:26.403434,1.6065745216958163,0.8170524142307172,0.49775225961278197,35,8,COMPLETE
145,51.74999999999999,2025-01-21 17:12:19.192002,2025-01-21 17:12:46.173540,0 days 00:00:26.981538,0.9904662038487307,0.6458660298218191,0.3767392775203265,38,4,COMPLETE
146,23.799999999999997,2025-01-21 17:12:46.243730,2025-01-21 17:13:10.057744,0 days 00:00:23.814014,1.268307530728813,1.0104830677136256,0.0019229649990134378,31,5,COMPLETE
147,49.0,2025-01-21 17:13:10.146450,2025-01-21 17:13:35.880507,0 days 00:00:25.734057,2.01175886235677,1.4296821962162372,0.6098757867784792,36,26,COMPLETE
148,51.72,2025-01-21 17:13:35.950336,2025-01-21 17:14:02.595593,0 days 00:00:26.645257,1.0864907129953136,0.8822044063833581,0.3149171947103579,39,7,COMPLETE
149,51.790000000000006,2025-01-21 17:14:02.672365,2025-01-21 17:14:31.059600,0 days 00:00:28.387235,1.5525172163745358,1.245104018825367,0.4380653897838924,41,7,COMPLETE
150,51.129999999999995,2025-01-21 17:14:31.134325,2025-01-21 17:14:56.017588,0 days 00:00:24.883263,0.8707491023188642,1.6628502390766282,0.29653311411868194,33,4,COMPLETE
151,51.339999999999996,2025-01-21 17:14:56.088228,2025-01-21 17:15:21.943307,0 days 00:00:25.855079,0.6592332103992317,0.5099685924545827,0.4991255702867661,36,2,COMPLETE
152,52.16,2025-01-21 17:15:22.027281,2025-01-21 17:15:49.231911,0 days 00:00:27.204630,0.8889657615181548,0.98612970304994,0.3555714737426523,40,7,COMPLETE
153,51.72,2025-01-21 17:15:49.331979,2025-01-21 17:16:14.874280,0 days 00:00:25.542301,1.2041073218973695,0.6801401576358568,0.36276276187192374,34,6,COMPLETE
