number,value,datetime_start,datetime_complete,duration,params_centroids_new_old_ratio,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
42,52.239999999999995,2025-01-15 04:59:23.950413,2025-01-15 05:05:31.072885,0 days 00:06:07.122472,0.05074840605782745,1.683292736225186,1.5334622031222505,0.36409587307451496,0.006087960671937755,20,3,SGD,0.03275772882213126,0,,False,COMPLETE
43,52.470000000000006,2025-01-15 05:05:31.152135,2025-01-15 05:10:41.751466,0 days 00:05:10.599331,0.17048998177484898,1.3849540151955897,1.862024817596338,0.4641095584705073,0.004141459055969415,9,4,SGD,0.13266176330501564,0,,False,COMPLETE
44,48.949999999999996,2025-01-15 05:10:41.817463,2025-01-15 05:14:09.556017,0 days 00:03:27.738554,0.24983184073060216,1.2031807635574203,1.9868434318608121,0.4190753109697407,0.010540247795125293,28,17,SGD,0.0742338243424677,1,,False,COMPLETE
45,48.28,2025-01-15 05:14:09.618333,2025-01-15 05:17:45.194763,0 days 00:03:35.576430,0.11457535201201702,1.327739468571887,1.5558393803917376,0.3128313693141285,0.007729832882506101,45,23,SGD,0.020101020482676406,0,,False,COMPLETE
46,51.980000000000004,2025-01-15 05:17:45.267437,2025-01-15 05:24:30.365438,0 days 00:06:45.098001,0.32201867185229205,1.0739024477208112,1.3630708998058674,0.5482395644503217,0.003870302663766124,26,7,SGD,0.7026850344457378,0,7.573623040452578,True,COMPLETE
47,52.38,2025-01-15 05:24:30.441217,2025-01-15 05:33:43.568893,0 days 00:09:13.127676,0.2288887806274729,1.5408575546768266,1.8279824863345768,0.47517278467768,0.0026231134689631446,6,3,SGD,0.002997528085410067,0,,False,COMPLETE
48,51.55,2025-01-15 05:33:43.635717,2025-01-15 05:41:06.632125,0 days 00:07:22.996408,0.19335636914781149,1.4554658460817178,1.011624942351491,0.5238407896892145,0.013007299973267016,19,1,SGD,0.011850114092151613,0,,False,COMPLETE
49,50.89,2025-01-15 05:41:06.704899,2025-01-15 05:43:57.703480,0 days 00:02:50.998581,0.27145503009949645,1.2959164305774933,1.9115595822885558,0.6102963220067646,0.06771397438545644,12,5,SGD,0.0005578435576427995,1,,False,COMPLETE
50,46.98,2025-01-15 05:43:57.766344,2025-01-15 05:47:01.911096,0 days 00:03:04.144752,0.13090356698298544,1.715480449657185,1.6942532821028227,0.38475419067135785,0.005486664828951478,43,25,SGD,0.2925277389567586,0,3.1171640090283623,True,COMPLETE
51,52.44,2025-01-15 05:47:01.985408,2025-01-15 05:51:00.998463,0 days 00:03:59.013055,0.2083480189491775,1.3895379929935787,1.4915112483736277,0.498037817282664,0.006035622717895817,22,6,SGD,0.05397909823028296,0,,False,COMPLETE
52,52.38,2025-01-15 05:51:01.083554,2025-01-15 05:56:19.036243,0 days 00:05:17.952689,0.22746779543607276,1.4180456868756204,1.3786800435532922,0.4848245710509217,0.0032983615479782553,15,5,SGD,0.030187696143809232,0,,False,COMPLETE
53,52.49,2025-01-15 05:56:19.096215,2025-01-15 06:00:10.702615,0 days 00:03:51.606400,0.32272788683181836,1.1469613196950448,1.5959282720660344,0.4367989110953099,0.009101267162008701,20,7,SGD,0.15168284550956948,0,,False,COMPLETE
54,51.370000000000005,2025-01-15 06:00:10.771262,2025-01-15 06:06:22.185182,0 days 00:06:11.413920,0.08576201646905968,1.5658135343079354,1.2691272305258245,0.5752781194932185,0.005328680334450083,59,12,SGD,0.4532768212739315,0,,False,COMPLETE
55,52.14,2025-01-15 06:06:22.259556,2025-01-15 06:12:45.045859,0 days 00:06:22.786303,0.17798772964127688,1.2352956063578668,1.7758283291387746,0.4045784121280155,0.007787659405549594,23,1,SGD,0.8124940146993952,0,,False,COMPLETE
56,52.5,2025-01-15 06:12:45.127338,2025-01-15 06:20:56.893457,0 days 00:08:11.766119,0.4463585560131953,1.018607168588815,1.7108244892619233,0.470909188426079,0.001587786796181177,34,9,SGD,0.01281479139339657,2,,False,COMPLETE
57,45.629999999999995,2025-01-15 06:20:56.961519,2025-01-15 06:24:34.888574,0 days 00:03:37.927055,0.26638493551404463,0.3452841976536547,1.9397124932118714,0.673740519598367,0.004156311101772683,12,4,Adam,0.18623481403760972,0,,False,COMPLETE
58,52.21,2025-01-15 06:24:34.952921,2025-01-15 06:27:16.530505,0 days 00:02:41.577584,0.36532752796925944,1.3575355298822154,1.5031173374236142,0.541299177028578,0.015503128936411658,25,6,SGD,0.06990136786179542,1,,False,COMPLETE
59,51.9,2025-01-15 06:27:16.614968,2025-01-15 06:36:36.218842,0 days 00:09:19.603874,0.4020092773616871,1.6544052582277429,1.8029058840094008,0.3469948643770117,0.002835792710848301,29,2,SGD,0.10947893067972612,0,,False,COMPLETE
60,48.28,2025-01-15 06:36:36.286619,2025-01-15 06:43:12.820559,0 days 00:06:36.533940,0.31165283603202903,0.8822912562354672,1.6486235798347313,0.7858058846919473,0.006392898341606679,16,2,SGD,0.0072234283352309355,0,,False,COMPLETE
61,52.62,2025-01-15 06:43:12.900248,2025-01-15 06:47:57.109274,0 days 00:04:44.209026,0.2791716199001323,1.4916907497730725,1.7597554129861597,0.45032286499005225,0.004896355511249894,14,4,SGD,0.3700289418243935,0,,False,COMPLETE
62,52.480000000000004,2025-01-15 06:47:57.181820,2025-01-15 06:52:59.258218,0 days 00:05:02.076398,0.21454857730066132,1.4481079686774356,1.9974113814674923,0.4351077907918337,0.0969927016087599,10,4,SGD,0.44400139379328407,0,,False,COMPLETE
63,52.65,2025-01-15 06:52:59.350750,2025-01-15 06:58:11.629525,0 days 00:05:12.278775,0.14937864973324305,1.2896782187366571,1.9105587963393729,0.38111770320438465,0.0036897671916064846,18,5,SGD,0.7261447325195328,0,,False,COMPLETE
64,49.97,2025-01-15 06:58:11.710349,2025-01-15 07:04:03.959426,0 days 00:05:52.249077,0.2898139246810748,1.7556361969092362,1.4200638693858085,0.507808028165517,0.005082148476485447,5,4,SGD,0.5097991960105546,0,,False,COMPLETE
65,52.449999999999996,2025-01-15 07:04:04.032854,2025-01-15 07:07:14.961573,0 days 00:03:10.928719,0.10001318221481952,1.5262726636386863,1.8012236989291888,0.48727172647408146,0.009960549122936709,8,3,Adam,0.00011665822244063277,0,,False,COMPLETE
66,51.949999999999996,2025-01-15 07:07:15.027399,2025-01-15 07:11:57.268671,0 days 00:04:42.241272,0.2402970644546047,1.8633840799462407,1.6062275356735771,0.4449706120989201,0.004468922686896742,3,2,SGD,0.2633118041197857,0,,False,COMPLETE
67,49.309999999999995,2025-01-15 07:11:57.353192,2025-01-15 07:18:12.723713,0 days 00:06:15.370521,0.34068503129895467,0.6823812618357499,1.7434228779222265,0.2529759849744312,0.0074629397599514265,12,5,SGD,0.9886094518602486,0,,False,COMPLETE
68,51.470000000000006,2025-01-15 07:18:12.795254,2025-01-15 07:22:43.294311,0 days 00:04:30.499057,0.188348830067262,1.409440420667478,0.7835603651423741,0.5612202987747555,0.0034756984325304404,21,6,SGD,0.18778717447038437,0,0.29102682216424647,True,COMPLETE
69,52.190000000000005,2025-01-15 07:22:43.366188,2025-01-15 07:29:13.645660,0 days 00:06:30.279472,0.6008547158842492,1.1894333497117144,1.6662691810736023,0.32263259221525575,0.002331498536132396,14,3,SGD,0.44280131416191687,1,,False,COMPLETE
70,52.459999999999994,2025-01-15 07:29:13.742553,2025-01-15 07:31:57.237795,0 days 00:02:43.495242,0.3793034218387017,1.5861462399491415,1.9040821746404575,0.40014645390906967,0.04563289242696208,17,5,Adam,0.10928828511759614,2,,False,COMPLETE
71,52.290000000000006,2025-01-15 07:31:57.304796,2025-01-15 07:37:24.106126,0 days 00:05:26.801330,0.1580042567635065,1.2822805074324843,1.8347783249470269,0.3769838333468061,0.006071066040631974,19,6,SGD,0.7297218981716976,0,,False,COMPLETE
72,52.87,2025-01-15 07:37:24.178498,2025-01-15 07:43:18.139653,0 days 00:05:53.961155,0.1555906590767652,1.332533889463598,1.8802479002498265,0.4212473964316007,0.00333294391645206,18,5,SGD,0.5869166171501694,0,,False,COMPLETE
73,52.87,2025-01-15 07:43:18.210887,2025-01-15 07:50:45.094012,0 days 00:07:26.883125,0.06987827228022249,1.0947891662088443,1.2155577025072068,0.41900731305900873,0.0029902230821583333,24,7,SGD,0.33830929271819254,0,,False,COMPLETE
74,52.82,2025-01-15 07:50:45.157763,2025-01-15 07:57:23.516010,0 days 00:06:38.358247,0.0688641889323213,1.1095895848815256,1.1739736805943153,0.42545890950621745,0.0030830948883792853,25,7,SGD,0.3086184513911965,0,,False,COMPLETE
75,52.14,2025-01-15 07:57:23.587641,2025-01-15 08:02:45.121217,0 days 00:05:21.533576,0.05629036125652245,1.1180291780717007,1.2084904437419952,0.42275422764864956,0.003113887167567706,25,9,SGD,0.30051786661335644,0,,False,COMPLETE
76,52.22,2025-01-15 08:02:45.204924,2025-01-15 08:09:11.585289,0 days 00:06:26.380365,0.09007024533958878,1.0673125310694267,1.0785563000824052,0.3605979941338573,0.0021459479127136113,24,7,SGD,0.5294346867006082,0,,False,COMPLETE
77,51.190000000000005,2025-01-15 08:09:11.643572,2025-01-15 08:16:24.852393,0 days 00:07:13.208821,0.12077343821009787,0.9947646443597874,0.9158003826677085,0.2837663758463388,0.0017064080574241344,32,8,SGD,0.60645870790706,0,,False,COMPLETE
78,52.49,2025-01-15 08:16:24.924322,2025-01-15 08:24:58.732408,0 days 00:08:33.808086,0.13910381901334185,1.2198886119908114,1.204727050507836,0.4668465969416292,0.0013870462005414212,68,10,SGD,0.24106144288680573,0,,False,COMPLETE
79,52.239999999999995,2025-01-15 08:24:58.807241,2025-01-15 08:30:01.050049,0 days 00:05:02.242808,0.06311505559127682,0.9062873113121515,1.1557020655594639,0.40575581874575406,0.0028083213823260635,16,7,SGD,0.3154635612797517,0,,False,COMPLETE
80,51.72,2025-01-15 08:30:01.119519,2025-01-15 08:34:31.597562,0 days 00:04:30.478043,0.09894783588637578,0.7885612189268465,1.3173735772404596,0.33070381276851013,0.0045162058775031775,11,4,SGD,0.8154994054601894,0,5.799406900762337,True,COMPLETE
81,52.38,2025-01-15 08:34:31.670066,2025-01-15 08:39:48.013305,0 days 00:05:16.343239,0.07691577386159129,1.0251520494517516,1.5233568231002161,0.5250682792335485,0.0037966529492662678,22,6,SGD,0.14429467426407808,0,,False,COMPLETE
82,52.1,2025-01-15 08:39:48.087676,2025-01-15 08:43:15.230365,0 days 00:03:27.142689,0.17293971194722793,1.3456094952507125,1.4469532108626209,0.4945681581704842,0.005661664817160998,27,8,SGD,0.21016460625518343,0,,False,COMPLETE
83,52.949999999999996,2025-01-15 08:43:15.317589,2025-01-15 08:46:53.815325,0 days 00:03:38.497736,0.050292224445637024,1.091062647614268,1.0230233935951996,0.4504282464831576,0.00802422119274103,21,5,SGD,0.40387439270445596,0,,False,COMPLETE
84,52.81,2025-01-15 08:46:53.886736,2025-01-15 08:51:39.993628,0 days 00:04:46.106892,0.054954429113729844,1.1695419854464706,1.013693482239995,0.42539912893869475,0.011082588006721142,19,3,SGD,0.4020613450135836,0,,False,COMPLETE
85,53.1,2025-01-15 08:51:40.081454,2025-01-15 08:55:52.453529,0 days 00:04:12.372075,0.05414936298897846,1.1645493076714994,1.0270944357749185,0.4219028278527943,0.020743845872451448,18,3,SGD,0.596224661001039,0,,False,COMPLETE
86,52.56999999999999,2025-01-15 08:55:52.541966,2025-01-15 09:01:33.260237,0 days 00:05:40.718271,0.10573880450565734,1.1273021507707814,0.7703786533714482,0.39243277950917865,0.021324310396915243,14,4,SGD,0.8342440501949596,0,,False,COMPLETE
87,52.99,2025-01-15 09:01:33.322473,2025-01-15 09:07:36.347543,0 days 00:06:03.025070,0.07875037569615952,1.0814025115673205,1.0222862097139092,0.45469081197070776,0.0025164939075099043,17,3,SGD,0.5727678475347745,2,,False,COMPLETE
